feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7
,,,,,,,
,,,,,,,
,,,,,,,-1.1128228024154199
,,,,,-3.853641318686829,3.034657658290599,
-2.956953935335381,,,,,,,
,,,,,,,
,3.178241674275195,,0.9064989171795539,,,,
,,,-0.9461571721724442,,,,
,-3.3772888953324687,,2.2770255914520234,,0.17427802376661872,1.375865854090469,
,,,,0.34588694583801416,,,
,,,,,,,
,,,,,,,
,,,1.4763289789211744,,,,
,,,,,-4.1153310957184575,,
,,,,,,,
,,,2.196250955454471,0.8363829129553311,,,
,,,,,,,-1.2878858696106308
,,,,,-3.4452456359802475,,
,,,,,,,
,,,,,,,
,,3.2023034370503636,,,,,
-0.18970242895340125,,,,,-4.059138608865072,,
,,,,,,,
-2.478200875803272,4.118289087629968,,,,,,
,,,,,,,
,,,3.0674962745750745,,,,
,,,,,,,
,,,,-1.6745937442272227,,,
,,,,,,,
,,,,,-1.9673819262178824,,
,,,,1.5019963834431171,,,-2.1126925091758757
,,,-1.7419973325376565,,,,
,,,,,,,
,,,,,,3.6118866732635126,0.10261185661965534
,,,-2.570291099993428,,,,
,,,,,,,
,1.4610446516827957,,,,,,
,2.671232276405563,-3.3145301601863366,,3.6137957002678447,,,
,,3.2468942453005547,,,-2.5558302563212125,,
,,,,,,,
,,,,-0.6216373175870157,,,
,,,,-1.0052088368232612,,,
,,,3.0613757586477273,,,,
-2.032352466913091,,,,,,2.9035164279284653,
-2.1295649926513995,,2.227250604191033,,,,,
,1.475270247431877,,,,,3.276027365994015,3.2031079181633766
,,,,,,3.4318798935375265,
,,,,1.079129024310721,,,
,,,,,,,
,,-0.9402960953931068,,,,,
,,,,,-0.8462499004209467,,
,,,,,,,0.35186511200257803
-3.5753974691128523,,,,,,,
,,,,,,,
,,,,,,3.211390395936008,
,,,,,,,
,,,,,,,
,,,,,,3.638896398258655,
-0.3730964875001412,,,,,,,1.1662967751833995
,,,,,,5.557480445547747,
,,,1.4636413542191276,,-3.9284905787726383,,
,,,,,,,
,,,,,,,
,,,,,,,
,,-2.029204961551941,,,,5.329892505891502,
,,,,,,2.853043931670115,2.86450936883707
-3.424077928062941,,-3.4172611201543566,,,,0.8718136321935902,2.8638238375724714
,,,,,,,
,,,,,,,3.6218924280994536
,,,,,,,
,3.2633228129122145,,,,,3.574121625771427,
,,-1.826952730698975,,,,,
,,,,,,,
-3.0206903543240475,,,,,,,1.891335048708657
,,,,,,3.498700830108153,
,0.5093349065464282,,,,,,
,,-2.3096613120340823,-1.593583419333641,,,3.4578260261677207,
,0.38333800193898904,,,,,,
,,,,,,,
,,-1.944971037210438,,1.5802408380864215,,,
,,,,,,,
,,2.8075048567944325,,,,,
,,,,,,,
,,,,,,,
,,,,,-1.0994642294851904,,
,,,,,,,
,,,,,,,
,,,,,-3.3002717179697503,,
,,,3.8805629169309386,,,,
-2.231447175681988,,,3.6168890878156033,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,3.287957069898359
,,,,2.1875919259176695,-4.117146911402642,,
,,,,,,,
,,,,,,-1.9505052401627458,
,,,,,,,
,,,,,,,
,,,,,,,3.03718432121911
,,,,,,,
